quarter,row_id,label,unweighted,weighted,bank,source_file,unit,unweighted_inr_crore,weighted_inr_crore
2025-12-31,5i,collateral,1645849.49,1645849.49,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,164584.94900000002,164584.94900000002
2025-09-30,5i,collateral,1537687.78,1537687.78,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,153768.77800000002,153768.77800000002
2025-06-30,5i,collateral,1502636.57,1502636.57,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,150263.657,150263.657
2025-12-31,5ii,loss of funding,0.0,0.0,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,0.0,0.0
2025-09-30,5ii,loss of funding,0.0,0.0,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,0.0,0.0
2025-06-30,5ii,loss of funding,0.0,0.0,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,0.0,0.0
2025-12-31,5iii,Credit and liquidity facilities,1303406.73,132854.33,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,130340.67300000001,13285.432999999999
2025-09-30,5iii,Credit and liquidity facilities,1178834.51,129397.47,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,117883.451,12939.747000000001
2025-06-30,5iii,Credit and liquidity facilities,1139089.5,114404.02,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,113908.95000000001,11440.402000000002
2025-12-31,6,Other contractual funding,513417.1,513417.1,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,51341.71,51341.71
2025-09-30,6,Other contractual funding,511243.24,511243.24,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,51124.324,51124.324
2025-06-30,6,Other contractual funding,555164.21,555164.21,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,55516.421,55516.421
2025-12-31,7,Other contingent funding,12962731.02,589101.28,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,1296273.102,58910.128000000004
2025-09-30,7,Other contingent funding,12925456.94,588976.35,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,1292545.6940000001,58897.635
2025-06-30,7,Other contingent funding,12494257.84,570730.31,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,1249425.784,57073.03100000001
2025-12-31,8,Total Cash Outflows,,9108733.07,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,,910873.307
2025-09-30,8,Total Cash Outflows,,8862912.48,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,,886291.2480000001
2025-06-30,8,Total Cash Outflows,,8843979.38,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,,884397.9380000001
2025-12-31,9,Secured lending,0.0,0.0,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,0.0,0.0
2025-09-30,9,Secured lending,0.0,0.0,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,0.0,0.0
2025-06-30,9,Secured lending,0.0,0.0,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,0.0,0.0
2025-12-31,10,Inflows from fully performing,1363671.88,757381.46,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,136367.188,75738.146
2025-09-30,10,Inflows from fully performing,1203358.5,690625.3,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,120335.85,69062.53000000001
2025-06-30,10,Inflows from fully performing,1253980.26,704388.6,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,125398.02600000001,70438.86
2025-12-31,11,Other cash inflows,1996809.56,1901454.77,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,199680.956,190145.477
2025-09-30,11,Other cash inflows,1439843.4,1368762.1,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,143984.34,136876.21000000002
2025-06-30,11,Other cash inflows,1755060.26,1681771.37,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,175506.026,168177.13700000002
